forecast,wape,bias,underforecast_rate,pinball_p50,pinball_p90,weighted_pinball_p50,weighted_pinball_p90,inventory_cost,inventory_cost_per_unit_demand,cost_lift_vs_best
xgb_bias_corrected,0.31981838376349864,0.07089758481823426,0.36125,10.409945615437701,8.563797827336886,0.15990919188174932,0.1315501579544556,1438718.034992597,1.3155015795445562,0.0
lift_p90_forecast,0.5510483504908396,0.3594908668186689,0.1823809523809524,17.93637780474893,8.575364022386083,0.2755241752454198,0.1317278285179522,1440661.155760862,1.317278285179522,0.0013505917914449217
baseline_forecast,0.3456863002771503,0.0957416096278368,0.3911904761904762,11.251934749780046,8.758857428503186,0.17284315013857515,0.13454650628744041,1471488.0479885354,1.3454650628744043,0.02277723097848483
lift_p50_forecast,0.30736351381871185,-0.0283761969078301,0.45898809523809525,10.004545158944687,10.743451192068544,0.15368175690935593,0.16503223567248798,1804899.8002675152,1.6503223567248795,0.2545194794036223
xgb_forecast,0.30673467386927794,-0.09318519798060358,0.5523214285714285,9.984076699322735,12.4105859743098,0.15336733693463897,0.1906414161268804,2084978.4436840466,1.9064141612688041,0.44919184508226095
