cat_id,store_id,lead_bucket,is_event_week,rows,actual_sum,forecast_sum,stockout_proxy_rate,raw_ratio,shrinkage_weight,global_ratio,correction_factor
HOBBIES,TX_2,57-98,0,153,4134,3229.004601082252,0.006535947712418301,1.2801839349128228,0.6566523605150214,1.1773084429661982,1.2448618775920932
HOUSEHOLD,CA_2,57-98,0,153,5908,5021.755755652497,0.0,1.1764458172886754,0.6566523605150214,1.1773084429661982,1.1767419977788118
HOBBIES,TX_1,57-98,0,152,3147,2734.5161143125547,0.03289473684210526,1.150788322367863,0.6551724137931034,1.1773084429661982,1.1599331915397026
HOUSEHOLD,CA_1,57-98,0,151,7031,5993.120892286706,0.013245033112582781,1.1731495120575306,0.6536796536796536,1.1773084429661982,1.1745898344501429
HOBBIES,TX_3,57-98,0,150,4106,3344.4274734002615,0.006666666666666667,1.2276458039084863,0.6521739130434783,1.1773084429661982,1.2101371566242123
HOUSEHOLD,TX_3,57-98,0,149,6708,6606.011520731321,0.03355704697986577,1.0154364010034889,0.6506550218340611,1.1773084429661982,1.0719855859686276
HOUSEHOLD,TX_2,57-98,1,149,7919,6452.103439092872,0.0,1.2273164493258664,0.6506550218340611,1.1773084429661982,1.209846403436026
HOUSEHOLD,WI_3,57-98,1,149,6347,5400.863627358608,0.026845637583892617,1.1751499922822064,0.6506550218340611,1.1773084429661982,1.1759040361892779
HOUSEHOLD,TX_1,57-98,0,146,6571,6237.1565736832945,0.02054794520547945,1.0535163589392866,0.6460176991150443,1.1773084429661982,1.0973365656744765
HOUSEHOLD,WI_2,99+,1,145,8906,7296.297532160225,0.0,1.2205888496043347,0.6444444444444445,1.1773084429661982,1.2052002605774417
HOUSEHOLD,CA_4,57-98,0,144,2608,2093.675655116915,0.013888888888888888,1.2455388945905221,0.6428571428571429,1.1773084429661982,1.2211708761532636
FOODS,CA_1,29-56,0,138,16112,15294.942474101777,0.07971014492753623,1.0534166186412912,0.6330275229357798,1.1773084429661982,1.0988815083018075
FOODS,CA_4,29-56,0,134,6989,6414.807701744199,0.1044776119402985,1.0894964944319794,0.6261682242990654,1.1773084429661982,1.1223233910802854
HOUSEHOLD,WI_1,57-98,1,133,4146,3110.608850457445,0.022556390977443608,1.3327510620077905,0.6244131455399061,1.1773084429661982,1.2743688576729202
FOODS,TX_1,29-56,0,132,10647,10079.41065352074,0.10606060606060606,1.0563061730308598,0.6226415094339622,1.1773084429661982,1.1019674069687233
HOBBIES,CA_1,57-98,0,132,7061,5167.719224604049,0.06818181818181818,1.3662959222825626,0.6226415094339622,1.1773084429661982,1.2949798923518592
FOODS,CA_3,29-56,0,131,22061,20326.312545858986,0.08396946564885496,1.0853377666244621,0.6208530805687204,1.1773084429661982,1.1202081652374427
FOODS,WI_1,57-98,1,130,11428,10845.863669442966,0.038461538461538464,1.0536686316245485,0.6190476190476191,1.1773084429661982,1.100769512135653
HOBBIES,CA_3,57-98,0,130,7271,6125.025737915328,0.015384615384615385,1.1870665111626912,0.6190476190476191,1.1773084429661982,1.1833491518497414
